id,name_ja,name_en,generation,effect_en
10001,,mountaineer,第五世代,
10002,,wave-rider,第五世代,
10003,,skater,第五世代,
10004,,thrust,第五世代,
10005,,perception,第五世代,
10006,,parry,第五世代,
10007,,instinct,第五世代,
10008,,dodge,第五世代,
10009,,jagged-edge,第五世代,
10010,,frostbite,第五世代,
10011,,tenacity,第五世代,
10012,,pride,第五世代,
10013,,deep-sleep,第五世代,
10014,,power-nap,第五世代,
10015,,spirit,第五世代,
10016,,warm-blanket,第五世代,
10017,,gulp,第五世代,
10018,,herbivore,第五世代,
10019,,sandpit,第五世代,
10020,,hot-blooded,第五世代,
10021,,medic,第五世代,
10022,,life-force,第五世代,
10023,,lunchbox,第五世代,
10024,,nurse,第五世代,
10025,,melee,第五世代,
10026,,sponge,第五世代,
10027,,bodyguard,第五世代,
10028,,hero,第五世代,
10029,,last-bastion,第五世代,
10030,,stealth,第五世代,
10031,,vanguard,第五世代,
10032,,nomad,第五世代,
10033,,sequence,第五世代,
10034,,grass-cloak,第五世代,
10035,,celebrate,第五世代,
10036,,lullaby,第五世代,
10037,,calming,第五世代,
10038,,daze,第五世代,
10039,,frighten,第五世代,
10040,,interference,第五世代,
10041,,mood-maker,第五世代,
10042,,confidence,第五世代,
10043,,fortune,第五世代,
10044,,bonanza,第五世代,
10045,,explode,第五世代,
10046,,omnipotent,第五世代,
10047,,share,第五世代,
10048,,black-hole,第五世代,
10049,,shadow-dash,第五世代,
10050,,sprint,第五世代,
10051,,disgust,第五世代,
10052,,high-rise,第五世代,
10053,,climber,第五世代,
10054,,flame-boost,第五世代,
10055,,aqua-boost,第五世代,
10056,,run-up,第五世代,
10057,,conqueror,第五世代,
10058,,shackle,第五世代,
10059,,decoy,第五世代,
10060,,shield,第五世代,
